University of Warwick,Itsmejudith,2022-01-19T11:14:21Z,/* Academics */ better heading for a UK uni
University of Warwick,1.186.198.230,True,2022-01-19T09:01:14Z,/* Rankings and reputation */ARWU rankings are disputed.
University of Warwick,CommonsDelinker,2022-01-14T10:27:32Z,Removing [[:c:File:University_of_Warwick_Arms.png|University_of_Warwick_Arms.png]]; it has been deleted from Commons by [[:c:User:Josve05a|Josve05a]] because: [[:c:COM:VRTS|VRTS]]: Unaccepted or insufficient permission for use on Commons: [[:c:ticket:2022
University of Warwick,Citation bot,2022-01-13T17:01:32Z,"Alter: template type. Add: newspaper, date, work, title. Removed parameters. Some additions/deletions were parameter name changes. | [[WP:UCB|Use this bot]]. [[WP:DBUG|Report bugs]]. | Suggested by Goszei | Linked from User:Goszei/sandbox | #UCB_webform_linked 159/1000"
University of Warwick,2A02:C7F:E071:A100:58CE:9B14:2D13:DFF7,True,2021-12-13T12:53:37Z,/* Student housing */
Coventry University,Rlink2,2022-01-12T21:58:13Z,"Adding archives to assist with [[Wikipedia:Verifiability]], [[WP:SOURCEACCESS]]"
Coventry University,2400:1A00:B020:4025:9D36:DA2C:D764:5F4D,True,2021-12-30T11:13:21Z,/* Rankings */
Coventry University,80.4.90.237,True,2021-08-25T22:51:41Z,Uncited vandalism?
Coventry University,Citation bot,2021-08-12T04:35:52Z,Alter: template type. Add: title. Changed bare reference to CS1/2. | [[WP:UCB|Use this bot]]. [[WP:DBUG|Report bugs]]. | Suggested by BrownHairedGirl | Linked from User:BrownHairedGirl/Articles_with_bare_links | #UCB_webform_linked 557/2144
Coventry University,AnomieBOT,2021-08-08T06:33:40Z,Fixing reference errors
University of Birmingham,Billjones94,2022-01-17T07:41:26Z,
University of Birmingham,Joshuaaa kk,2021-12-02T15:20:57Z,Institution to university
University of Birmingham,MarcGarver,2021-11-29T15:58:03Z,"two reverts - one vandalism, the other uncited potential spam"
University of Birmingham,147.188.245.218,True,2021-11-29T15:54:22Z,
University of Birmingham,147.188.245.218,True,2021-11-29T15:53:35Z,
University of Birmingham,Billjones94,2022-01-17T07:41:26Z,
University of Birmingham,Joshuaaa kk,2021-12-02T15:20:57Z,Institution to university
University of Birmingham,MarcGarver,2021-11-29T15:58:03Z,"two reverts - one vandalism, the other uncited potential spam"
University of Birmingham,147.188.245.218,True,2021-11-29T15:54:22Z,
University of Birmingham,147.188.245.218,True,2021-11-29T15:53:35Z,
